time,area_h1,area_h2,area_h3,area_h4,area_h5,dt,temp_avg,temp_max,temp_min
144,1331.5062821508,7457.0040127212,7352.0171113873,19697.343352595,9162.1292411458,2,464.91820762814,2696.3838535296,300.0000007765
146,1346.1864493806,7450.1531310281,7340.6548070286,19701.859466682,9161.1461458807,2,466.72664686882,2702.625167535,300.00000094738
148,1361.120976855,7443.3531650355,7328.6727707263,19706.704349481,9160.148737902,2,468.53185738222,2709.3137329475,300.00000115145
150,1376.0504251932,7436.6296229981,7316.2012485842,19711.981511898,9159.1371913262,2,470.33389130146,2714.3308399282,300.00000139428
152,1390.7771440243,7429.9977596597,7303.7385493789,19717.374794282,9158.1117526545,2,472.1325407119,2721.4133124025,300.00000168233
154,1405.4266444893,7423.4653222293,7291.3584914348,19722.676825389,9157.0727164576,2,473.92780975402,2727.862976525,300.00000202274
156,1420.2548954003,7417.0303737544,7278.6137271517,19728.080604519,9156.0203991746,2,475.72007781558,2732.9936255416,300.0000024238
158,1435.1413951559,7410.6836952792,7265.4462474899,19733.773549629,9154.9551124457,2,477.50955232422,2739.5694518959,300.00000289485
160,1449.8765637975,7404.416835987,7252.2921633822,19739.537295973,9153.8771408605,2,479.29612810805,2744.4882224981,300.00000344648
162,1464.465294585,7398.2238720147,7239.3363034509,19745.187799913,9152.7867300361,2,481.07971544184,2750.146682385,300.00000409052
164,1479.1209620811,7392.094168748,7226.1837655223,19750.91701942,9151.6840842286,2,482.86052747349,2756.5174870948,300.00000484035
166,1493.8984917698,7386.0077919297,7212.5348193589,19756.989528351,9150.5693685903,2,484.63886663707,2761.2331117949,300.00000571095
168,1508.6054011259,7379.9401576314,7198.7837380842,19763.227988099,9149.4427150596,2,486.41475719089,2767.1520977985,300.00000671904
170,1523.1706473916,7373.8664189137,7185.3216997604,19769.337000811,9148.3042331229,2,488.18810399589,2772.0329325452,300.00000788332
172,1537.6869100716,7367.756855805,7172.0462556163,19775.355956585,9147.1540219222,2,489.95894125253,2776.3636278437,300.00000922459
174,1552.313299382,7361.5695441429,7158.5958799254,19781.529097065,9145.9921794845,2,491.72753332533,2782.7193060436,300.0000107659
176,1566.9619650333,7355.2508942909,7145.2194783343,19787.74885228,9144.8188100612,2,493.49404372417,2787.4329236485,300.00001253294
