time,area_h1,area_h2,area_h3,area_h4,area_h5,dt,temp_avg,temp_max,temp_min
273,0.23191153031519,7296.8258311721,10109.807146853,18379.14633636,9213.988774085,2,367.97340261465,836.64246584784,300.00061199461
275,0.23014367191944,7293.2394782529,10107.959945365,18382.136968813,9216.433463897,2,368.40292738424,837.33843755281,300.0006624658
277,0.22840250464856,7289.7058350263,10105.71898198,18385.344302377,9219.0024781116,2,368.8323919901,837.78357331875,300.00071649754
279,0.22668743930612,7286.2202948018,10103.125501561,18388.770278307,9221.6572378902,2,369.26179790406,838.6039943144,300.00077429721
281,0.22499790353536,7282.7771070552,10100.221838402,18392.412529139,9224.3635274995,2,369.6911465472,839.30206954038,300.0008360815
283,0.22333334124231,7279.3699028345,10097.048234061,18396.26350569,9227.0950240734,2,370.12043929099,839.82908384628,300.00090207702
285,0.22169321204591,7275.9923111616,10093.640323038,18400.310886666,9229.8347859219,2,370.54967745839,840.57343961092,300.00097251992
287,0.22007699080344,7272.6383855163,10090.027903082,18404.538828197,9232.5748062138,2,370.97886232482,841.06634380868,300.00104765697
289,0.21848416705247,7269.3027058365,10086.23494707,18408.929460456,9235.3144024696,2,371.40799511888,841.72135580828,300.0011277454
291,0.21691424451722,7265.980317353,10082.280350684,18413.46423652,9238.0581811982,2,371.83707702331,842.46829092548,300.00121305331
293,0.21536674061181,7262.6666938348,10078.178865515,18418.124982476,9240.8140914332,2,372.26610917606,842.96366507066,300.00130385998
295,0.21384118595319,7259.3578533507,10073.941880732,18422.894632846,9243.5917918855,2,372.69509267137,843.68217065057,300.00140045622
297,0.21233712388487,7256.0506098376,10069.57797595,18427.757703291,9246.4013737976,2,373.12402856115,844.22374103388,300.00150314464
299,0.21085411001324,7252.742841713,10065.09333403,18432.700567055,9249.2524030914,2,373.55291785646,844.7153234253,300.00161223997
301,0.20939171175809,7249.4336530105,10060.492127113,18437.711591502,9252.1532366627,2,373.98176152915,845.51194056967,300.00172806943
303,0.20794950791933,7246.1233697984,10055.776921033,18442.781172967,9255.1105866939,2,374.41056051381,846.05639872388,300.00185097302
305,0.20652708826188,7242.8133894988,10050.949069663,18447.901690839,9258.1293229105,2,374.83931570976,846.67075827686,300.00198130384
307,0.2051240531205,7239.5059372412,10046.009045949,18453.067389695,9261.212503061,2,375.2680279833,847.26179356716,300.00211942847
309,0.20374001302605,7236.2037797436,10040.956678341,18458.274192895,9264.3616090077,2,375.69669816993,847.60316927231,300.00226572727
311,0.20237458835416,7232.9099316711,10035.791293526,18463.519451939,9267.5769482756,2,376.12532707655,848.43880661213,300.00242059473
313,0.20102740899727,7229.6273868492,10030.511778466,18468.801641784,9270.8581654917,2,376.55391548364,849.03309476425,300.00258443982
315,0.19969811406025,7226.3589125691,10025.116569463,18474.120021935,9274.2047979184,2,376.98246414713,849.54476785555,300.00275768632
317,0.19838635157929,7223.1069364382,10019.603577254,18479.474294742,9277.6168052137,2,377.41097380019,850.18597467172,300.00294077318
319,0.19709177826335,7219.8735232427,10013.970075928,18484.864303283,9281.0950057687,2,377.83944515471,850.57683385633,300.00313415489
321,0.19581405925634,7216.6604026984,10008.212605642,18490.289818161,9284.6413594388,2,378.26787890261,851.25413806172,300.00333830179
323,0.19455286792417,7213.4689952527,10002.326941289,18495.750464057,9288.2590465326,2,378.69627571666,851.89891677718,300.00355370045
325,0.19330788563301,7210.3004019697,9996.3081652604,18501.24581294,9291.9523119446,2,379.12463625118,852.30924565353,300.00378085417
327,0.19207880157613,7207.155360124,9990.1508277217,18506.775682107,9295.7260512455,2,379.55296114235,853.00125071867,300.00402028288
329,0.19086531258577,7204.0341894001,9983.8491922697,18512.340588344,9299.5851646736,2,379.98125100843,853.44224195362,300.00427252419
331,0.18966712295529,7200.9367571014,9977.397530474,18517.942305626,9303.5337396757,2,380.40950645017,853.96269952771,300.00453813329
333,0.18848394426259,7197.8624769885,9970.7904463958,18523.584410449,9307.574182222,2,380.83772805133,854.65855641824,300.0048176833
335,0.18731549519173,7194.8103430541,9964.0232080725,18529.272673702,9311.7064596758,2,381.26591637964,855.1032721629,300.00511176592
337,0.18616150135114,7191.7789919874,9957.0920564375,18535.015163961,9315.9276261126,2,381.69407198795,855.71213338287,300.00542099162
339,0.18502169509249,7188.7667824575,9949.9944612526,18540.821973168,9320.2317614265,2,382.12219541547,856.20383513262,300.00574599007
341,0.18389581532238,7185.7718860865,9942.7292907152,18546.704589203,9324.6103381794,2,382.55028718884,856.56880897966,300.00608741046
343,0.18278360728977,7182.7923665036,9935.2969079859,18552.674965948,9329.052975955,2,382.9783478234,857.31626170016,300.00644592201
345,0.18168482242653,7179.8262324153,9927.6991787785,18558.744487901,9333.5484160822,2,383.40637782373,857.81193012799,300.00682221425
347,0.18059921814753,7176.8714821747,9919.9394069601,18564.923007668,9338.0855039792,2,383.83437768428,858.32269202694,300.00721699739
349,0.17952655766368,7173.9261311445,9912.0222213699,18571.218082863,9342.6540380646,2,384.26234788979,858.86561287072,300.00763100283
351,0.17846660980058,7170.9882395346,9903.9534219553,18577.634500572,9347.2453713283,2,384.69028891582,859.1593246665,300.00806498352
353,0.17741914881593,7168.0559471979,9895.7398016172,18584.17410226,9351.8527297757,2,385.11820122947,859.8758487521,300.00851971422
355,0.17638395421845,7165.1275162621,9887.3889572172,18590.835874678,9356.4712678888,2,385.54608529021,860.42294454019,300.00899599197
357,0.17536081058579,7162.2013767373,9878.9091015144,18597.616245396,9361.0979155415,2,385.97394155076,860.83658715975,300.00949463669
359,0.17434950737968,7159.2761688994,9870.3088858355,18604.509512219,9365.7310835385,2,386.40177045804,861.43117814893,300.01001649118
361,0.17334983875737,7156.3507781721,9861.5972396461,18611.50834035,9370.3702919927,2,386.82957245403,861.77583492188,300.01056242198
363,0.17236160338342,7153.424361532,9852.7832289797,18618.604273504,9375.0157743809,2,387.25734797662,862.34078902222,300.01113331932
365,0.17138460423808,7150.496367159,9843.8759329135,18625.788219439,9379.6680958844,2,387.68509746042,862.93974513231,300.01173009798
367,0.17041864842595,7147.5665502554,9834.8843344003,18633.050885988,9384.3278107076,2,388.11282133752,863.28863053414,300.01235369742
369,0.16946354698932,7144.6349871681,9825.8172173944,18640.383160197,9388.9951716932,2,388.54052003793,863.90387934796,300.01300508205
371,0.16851911472296,7141.7020875039,9816.6830657744,18647.776430876,9393.669896731,2,388.96819398964,864.29993421154,300.01368524213
373,0.16758516999875,7138.7686011457,9807.4899750117,18655.222848536,9398.3509901362,2,389.39584361835,864.71437433672,300.01439519379
375,0.16666153459896,7135.835615323,9798.2455915961,18662.715518527,9403.0366130193,2,389.8234693472,865.36561185639,300.01513597968
377,0.16574803356107,7132.9045373891,9788.9570823825,18670.248637327,9407.7239948674,2,390.25107159664,865.76609221077,300.01590866905
379,0.16484449503618,7129.9770610457,9779.6311218944,18677.817593925,9412.4093786395,2,390.67865078448,866.28697265135,300.01671435869
381,0.16395075016322,7127.055116719,9770.2738831261,18685.419055287,9417.0879941172,2,391.10620732576,866.73487493094,300.01755417293
383,0.16306663295636,7124.1408088767,9760.8910217726,18693.05104466,9421.7540580575,2,391.53374163234,866.99983656173,300.01842926428
385,0.16219198021337,7121.236344221,9751.4876543294,18700.713005004,9426.4008044652,2,391.96125411214,867.70376979948,300.01934081378
387,0.16132663143704,7118.3439549464,9742.0683391155,18708.405826974,9431.0205523329,2,392.38874516857,868.15628919015,300.02029003149
389,0.16047042877725,7115.4658211746,9732.6370688834,18716.131819613,9435.6048198998,2,392.8162152005,868.58364262677,300.02127815696
391,0.15962321698922,7112.6039966642,9723.1972687754,18723.894618324,9440.1444930188,2,393.2436646027,869.08382093049,300.02230645953
393,0.15878484340922,7109.7603421054,9713.75178326,18731.699039916,9444.6300498754,2,393.67109376651,869.3352518219,300.02337623899
395,0.15795515794607,7106.9364702351,9704.3028411648,18739.550897162,9449.0518362796,2,394.0985030798,869.9572940688,300.02448882577
397,0.15713401308693,7104.13370648,9694.8520144888,18747.456768657,9453.4003763608,2,394.52589292648,870.46225503767,300.02564558169
399,0.15632126391507,7101.3530674582,9685.4002103614,18755.423704864,9457.6666960523,2,394.95326368556,870.79685148631,300.02684790009
401,0.15551676813284,7098.5952575156,9675.9477176255,18763.458875437,9461.842632654,2,395.38061573076,871.34967987086,300.02809720655
403,0.15472038608896,7095.8606813902,9666.4942850868,18771.56920849,9465.9211046468,2,395.80794943069,871.65301805297,300.02939495929
405,0.15393198080092,7093.1494696379,9657.0391989175,18779.761077939,9469.8963215245,2,396.23526514932,872.12893599764,300.03074264954
407,0.15315141797041,7090.4615129876,9647.5813675513,18788.04004694,9473.7639211032,2,396.66256324636,872.68667340146,300.03214180203
